t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3
0.15,6.5717,6.75563,-0.633124,0.593092,6.69572,13.4172,0.193707,0.559375,13.2133,6.65042,-0.800057,-0.108328,13.2834,13.3211,-0.33259,-0.0815087
0.155,6.56853,6.7586,-0.633124,0.593093,6.69669,13.42,0.193707,0.559375,13.2093,6.64988,-0.800057,-0.108328,13.2818,13.3207,-0.33259,-0.0815089
0.16,6.56537,6.76156,-0.633123,0.593093,6.69766,13.4228,0.193708,0.559375,13.2053,6.64933,-0.800057,-0.108327,13.2801,13.3203,-0.33259,-0.0815091
0.165,6.5622,6.76453,-0.633123,0.593093,6.69863,13.4256,0.193708,0.559375,13.2013,6.64879,-0.800057,-0.108327,13.2785,13.3199,-0.33259,-0.0815093
0.17,6.55904,6.76749,-0.633123,0.593093,6.6996,13.4284,0.193708,0.559374,13.1973,6.64825,-0.800058,-0.108327,13.2768,13.3195,-0.332591,-0.0815096
0.175,6.55587,6.77046,-0.633123,0.593094,6.70056,13.4312,0.193708,0.559374,13.1933,6.64771,-0.800058,-0.108327,13.2751,13.3191,-0.332591,-0.0815098
0.18,6.5527,6.77342,-0.633122,0.593094,6.70153,13.434,0.193708,0.559374,13.1893,6.64717,-0.800058,-0.108327,13.2735,13.3187,-0.332591,-0.08151
0.185,6.54954,6.77639,-0.633122,0.593094,6.7025,13.4368,0.193709,0.559374,13.1853,6.64663,-0.800058,-0.108326,13.2718,13.3183,-0.332591,-0.0815102
0.19,6.54637,6.77935,-0.633122,0.593094,6.70347,13.4396,0.193709,0.559374,13.1813,6.64608,-0.800059,-0.108326,13.2701,13.3178,-0.332592,-0.0815104
0.195,6.54321,6.78232,-0.633122,0.593094,6.70444,13.4424,0.193709,0.559373,13.1773,6.64554,-0.800059,-0.108326,13.2685,13.3174,-0.332592,-0.0815106
0.2,6.54004,6.78528,-0.633121,0.593095,6.70541,13.4452,0.193709,0.559373,13.1733,6.645,-0.800059,-0.108326,13.2668,13.317,-0.332592,-0.0815108
0.205,6.53688,6.78825,-0.633121,0.593095,6.70638,13.448,0.19371,0.559373,13.1693,6.64446,-0.800059,-0.108325,13.2652,13.3166,-0.332592,-0.081511
0.21,6.53371,6.79122,-0.633121,0.593095,6.70734,13.4508,0.19371,0.559373,13.1653,6.64392,-0.800059,-0.108325,13.2635,13.3162,-0.332593,-0.0815113
0.215,6.53054,6.79418,-0.633121,0.593095,6.70831,13.4536,0.19371,0.559372,13.1613,6.64338,-0.80006,-0.108325,13.2618,13.3158,-0.332593,-0.0815115
0.22,6.52738,6.79715,-0.633121,0.593095,6.70928,13.4564,0.19371,0.559372,13.1573,6.64283,-0.80006,-0.108325,13.2602,13.3154,-0.332593,-0.0815117
0.225,6.52421,6.80011,-0.63312,0.593096,6.71025,13.4592,0.193711,0.559372,13.1533,6.64229,-0.80006,-0.108325,13.2585,13.315,-0.332593,-0.0815119
0.23,6.52105,6.80308,-0.63312,0.593096,6.71122,13.462,0.193711,0.559372,13.1493,6.64175,-0.80006,-0.108324,13.2568,13.3146,-0.332594,-0.0815121
0.235,6.51788,6.80604,-0.63312,0.593096,6.71219,13.4648,0.193711,0.559372,13.1453,6.64121,-0.800061,-0.108324,13.2552,13.3142,-0.332594,-0.0815123
0.24,6.51472,6.80901,-0.63312,0.593096,6.71316,13.4676,0.193711,0.559371,13.1413,6.64067,-0.800061,-0.108324,13.2535,13.3138,-0.332594,-0.0815125
0.245,6.51155,6.81197,-0.633119,0.593097,6.71412,13.4704,0.193712,0.559371,13.1373,6.64013,-0.800061,-0.108324,13.2518,13.3134,-0.332594,-0.0815127
0.25,6.50839,6.81494,-0.633119,0.593097,6.71509,13.4732,0.193712,0.559371,13.1333,6.63958,-0.800061,-0.108323,13.2502,13.313,-0.332595,-0.0815129
0.255,6.50522,6.8179,-0.633119,0.593097,6.71606,13.476,0.193712,0.559371,13.1293,6.63904,-0.800061,-0.108323,13.2485,13.3125,-0.332595,-0.0815132
0.26,6.50205,6.82087,-0.633119,0.593097,6.71703,13.4788,0.193712,0.55937,13.1253,6.6385,-0.800062,-0.108323,13.2469,13.3121,-0.332595,-0.0815134
0.265,6.49889,6.82384,-0.633118,0.593097,6.718,13.4816,0.193713,0.55937,13.1213,6.63796,-0.800062,-0.108323,13.2452,13.3117,-0.332595,-0.0815136
0.27,6.49572,6.8268,-0.633118,0.593098,6.71897,13.4844,0.193713,0.55937,13.1173,6.63742,-0.800062,-0.108323,13.2435,13.3113,-0.332596,-0.0815138
0.275,6.49256,6.82977,-0.633118,0.593098,6.71994,13.4872,0.193713,0.55937,13.1133,6.63688,-0.800062,-0.108322,13.2419,13.3109,-0.332596,-0.081514
0.28,6.48939,6.83273,-0.633118,0.593098,6.7209,13.49,0.193713,0.55937,13.1093,6.63633,-0.800063,-0.108322,13.2402,13.3105,-0.332596,-0.0815142
0.285,6.48623,6.8357,-0.633117,0.593098,6.72187,13.4928,0.193714,0.559369,13.1053,6.63579,-0.800063,-0.108322,13.2385,13.3101,-0.332596,-0.0815144
0.29,6.48306,6.83866,-0.633117,0.593098,6.72284,13.4956,0.193714,0.559369,13.1013,6.63525,-0.800063,-0.108322,13.2369,13.3097,-0.332597,-0.0815146
0.295,6.4799,6.84163,-0.633117,0.593099,6.72381,13.4983,0.193714,0.559369,13.0973,6.63471,-0.800063,-0.108321,13.2352,13.3093,-0.332597,-0.0815148
0.3,6.47673,6.84459,-0.633117,0.593099,6.72478,13.5011,0.193714,0.559369,13.0933,6.63417,-0.800063,-0.108321,13.2336,13.3089,-0.332597,-0.081515
0.305,6.47356,6.84756,-0.633117,0.593099,6.72575,13.5039,0.193714,0.559368,13.0893,6.63363,-0.800064,-0.108321,13.2319,13.3085,-0.332597,-0.0815153
0.31,6.4704,6.85053,-0.633116,0.593099,6.72672,13.5067,0.193715,0.559368,13.0853,6.63309,-0.800064,-0.108321,13.2302,13.3081,-0.332598,-0.0815155
0.315,6.46723,6.85349,-0.633116,0.5931,6.72768,13.5095,0.193715,0.559368,13.0813,6.63254,-0.800064,-0.108321,13.2286,13.3077,-0.332598,-0.0815157
0.32,6.46407,6.85646,-0.633116,0.5931,6.72865,13.5123,0.193715,0.559368,13.0773,6.632,-0.800064,-0.10832,13.2269,13.3073,-0.332598,-0.0815159
0.325,6.4609,6.85942,-0.633116,0.5931,6.72962,13.5151,0.193715,0.559368,13.0733,6.63146,-0.800065,-0.10832,13.2252,13.3068,-0.332598,-0.0815161
0.33,6.45774,6.86239,-0.633115,0.5931,6.73059,13.5179,0.193716,0.559367,13.0693,6.63092,-0.800065,-0.10832,13.2236,13.3064,-0.332599,-0.0815163
0.335,6.45457,6.86535,-0.633115,0.5931,6.73156,13.5207,0.193716,0.559367,13.0653,6.63038,-0.800065,-0.10832,13.2219,13.306,-0.332599,-0.0815165
0.34,6.4514,6.86832,-0.633115,0.593101,6.73253,13.5235,0.193716,0.559367,13.0613,6.62984,-0.800065,-0.108319,13.2203,13.3056,-0.332599,-0.0815167
