t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9,x10,y10,vx10,vy10,x11,y11,vx11,vy11,x12,y12,vx12,vy12,x13,y13,vx13,vy13,x14,y14,vx14,vy14,x15,y15,vx15,vy15,x16,y16,vx16,vy16,x17,y17,vx17,vy17,x18,y18,vx18,vy18,x19,y19,vx19,vy19,x20,y20,vx20,vy20,x21,y21,vx21,vy21,x22,y22,vx22,vy22,x23,y23,vx23,vy23,x24,y24,vx24,vy24,x25,y25,vx25,vy25,x26,y26,vx26,vy26,x27,y27,vx27,vy27,x28,y28,vx28,vy28,x29,y29,vx29,vy29,x30,y30,vx30,vy30,x31,y31,vx31,vy31,x32,y32,vx32,vy32,x33,y33,vx33,vy33,x34,y34,vx34,vy34,x35,y35,vx35,vy35
0.72,2.40682,3.2885,-0.615764,0.605168,3.00043,6.11916,0.202961,0.568651,2.28694,8.49158,-0.781556,-0.11643,2.62184,11.3717,-0.321032,-0.0729366,3.08465,13.7706,0.346246,-0.716397,3.18364,16.5003,0.465773,-0.896521,4.9927,3.49257,-1.0093,0.887225,5.88115,6.42552,0.225237,0.995017,5.00367,8.73483,-0.984751,0.237992,5.74942,10.7361,0.0443406,-0.981237,5.05309,14.1405,-0.949228,-0.205777,5.3264,17.8209,-0.546206,0.934722,8.74688,2.27103,0.258581,-0.810951,9.27055,5.54571,0.980682,-0.232974,9.09194,8.52336,0.727787,-0.0670916,8.50203,11.6949,-0.0871633,0.395991,9.21001,13.5766,0.886889,-1.01447,8.40822,17.2313,-0.221638,0.120676,11.0391,2.16438,-0.549047,-0.956165,11.6916,5.34156,0.361908,-0.516837,11.9073,8.73381,0.66097,0.237726,11.2723,10.9558,-0.214705,-0.665276,11.7963,13.827,0.511029,-0.639969,11.0054,17.0317,-0.594423,-0.15751,13.6082,2.95787,-0.947535,0.142999,14.2114,6.21105,-0.106275,0.701815,14.907,8.41722,0.89312,-0.221769,14.0367,11.7574,-0.34387,0.461092,14.3147,14.3842,0.0371111,0.128747,14.7877,17.8025,0.715384,0.907698,17.1977,3.21823,0.0749601,0.509255,17.8091,5.83837,0.920712,0.169616,16.8086,8.72715,-0.502576,0.219766,16.6558,11.135,-0.683497,-0.408847,17.0273,13.5855,-0.168762,-0.980393,16.837,16.9896,-0.445313,-0.210508
0.725,2.40374,3.29153,-0.615596,0.605252,3.00145,6.122,0.202991,0.56879,2.28303,8.49099,-0.781371,-0.116551,2.62023,11.3714,-0.320941,-0.07279,3.08638,13.767,0.347106,-0.716353,3.18597,16.4959,0.465962,-0.896573,4.98765,3.49701,-1.00945,0.887281,5.88227,6.43049,0.225099,0.995169,4.99875,8.73602,-0.984596,0.238321,5.74965,10.7312,0.0441607,-0.98174,5.04834,14.1394,-0.950146,-0.205922,5.32367,17.8255,-0.546326,0.934601,8.74818,2.26698,0.258937,-0.810933,9.27545,5.54454,0.980903,-0.232963,9.09557,8.52302,0.727873,-0.0670917,8.5016,11.6969,-0.086832,0.396748,9.21445,13.5715,0.886737,-1.01529,8.40711,17.2319,-0.22153,0.120656,11.0363,2.1596,-0.549287,-0.956071,11.6934,5.33898,0.361809,-0.516816,11.9106,8.735,0.660863,0.23801,11.2712,10.9524,-0.214634,-0.6655,11.7988,13.8238,0.511045,-0.640025,11.0024,17.031,-0.594554,-0.157536,13.6034,2.95858,-0.947659,0.143032,14.2109,6.21456,-0.106286,0.70209,14.9114,8.41612,0.894147,-0.221851,14.035,11.7597,-0.343834,0.461186,14.3149,14.3848,0.0370326,0.128581,14.7913,17.807,0.715807,0.907499,17.1981,3.22078,0.0749668,0.509373,17.8137,5.83922,0.920646,0.169555,16.8061,8.72825,-0.503762,0.219776,16.6524,11.133,-0.683588,-0.408887,17.0265,13.5805,-0.168893,-0.980564,16.8347,16.9886,-0.445759,-0.210369
0.73,2.40066,3.29456,-0.615427,0.605336,3.00246,6.12485,0.203021,0.568931,2.27912,8.49041,-0.781185,-0.116673,2.61863,11.371,-0.320849,-0.0726418,3.08812,13.7634,0.347983,-0.716306,3.1883,16.4914,0.466151,-0.896624,4.9826,3.50144,-1.00959,0.887337,5.8834,6.43547,0.224961,0.995322,4.99382,8.73721,-0.984436,0.238657,5.74987,10.7263,0.0439763,-0.982249,5.04359,14.1384,-0.951082,-0.206072,5.32094,17.8302,-0.546445,0.934479,8.74947,2.26293,0.259297,-0.810915,9.28036,5.54338,0.981126,-0.232953,9.09921,8.52269,0.727959,-0.0670916,8.50116,11.6989,-0.0864923,0.397518,9.21888,13.5664,0.886578,-1.01612,8.40601,17.2325,-0.221421,0.120636,11.0336,2.15482,-0.549532,-0.955978,11.6952,5.33639,0.361709,-0.516796,11.9139,8.73619,0.660754,0.238297,11.2701,10.9491,-0.214561,-0.665726,11.8014,13.8206,0.511062,-0.640082,10.9994,17.0302,-0.594686,-0.157562,13.5987,2.9593,-0.947784,0.143066,14.2104,6.21807,-0.106296,0.702368,14.9159,8.41501,0.895199,-0.221929,14.0332,11.762,-0.343797,0.46128,14.3151,14.3855,0.0369532,0.128414,14.7949,17.8116,0.716234,0.907296,17.1984,3.22333,0.0749739,0.509491,17.8184,5.84006,0.92058,0.169494,16.8036,8.72935,-0.504975,0.219781,16.649,11.1309,-0.683679,-0.408929,17.0256,13.5756,-0.169024,-0.980735,16.8325,16.9875,-0.446208,-0.210226
0.735,2.39758,3.29758,-0.615258,0.605421,3.00348,6.12769,0.20305,0.569073,2.27522,8.48983,-0.780997,-0.116796,2.61702,11.3706,-0.320756,-0.0724919,3.08986,13.7598,0.348878,-0.716255,3.19064,16.4869,0.46634,-0.896677,4.97755,3.50588,-1.00974,0.887393,5.88452,6.44045,0.224821,0.995476,4.9889,8.73841,-0.984272,0.238997,5.75009,10.7214,0.0437874,-0.982765,5.03883,14.1374,-0.952037,-0.206227,5.31821,17.8349,-0.546564,0.934357,8.75077,2.25887,0.259662,-0.810898,9.28527,5.54221,0.981351,-0.232943,9.10285,8.52235,0.728045,-0.0670913,8.50073,11.7009,-0.0861441,0.398301,9.22331,13.5613,0.886411,-1.01696,8.4049,17.2331,-0.221311,0.120616,11.0308,2.15004,-0.549781,-0.955883,11.697,5.33381,0.361606,-0.516776,11.9172,8.73738,0.660643,0.238587,11.2691,10.9458,-0.214487,-0.665955,11.8039,13.8174,0.511079,-0.640139,10.9965,17.0294,-0.594818,-0.157588,13.594,2.96001,-0.947909,0.1431,14.2098,6.22158,-0.106304,0.702648,14.9204,8.4139,0.896278,-0.222002,14.0315,11.7643,-0.34376,0.461375,14.3153,14.3861,0.036873,0.128246,14.7985,17.8161,0.716664,0.907091,17.1988,3.22587,0.0749815,0.50961,17.823,5.84091,0.920513,0.169432,16.8011,8.73045,-0.506216,0.219782,16.6456,11.1289,-0.683769,-0.408971,17.0248,13.5707,-0.169155,-0.980909,16.8303,16.9865,-0.446661,-0.21008
0.74,2.39451,3.30061,-0.615088,0.605505,3.00449,6.13054,0.203079,0.569216,2.27132,8.48924,-0.780809,-0.116919,2.61542,11.3703,-0.320663,-0.0723405,3.09161,13.7563,0.349791,-0.716199,3.19297,16.4824,0.466528,-0.89673,4.97251,3.51032,-1.00989,0.887449,5.88565,6.44543,0.224681,0.995631,4.98398,8.7396,-0.984103,0.239343,5.7503,10.7165,0.0435938,-0.983287,5.03407,14.1363,-0.953012,-0.206386,5.31548,17.8396,-0.546683,0.934234,8.75207,2.25482,0.260032,-0.810882,9.29017,5.54105,0.981578,-0.232933,9.10649,8.52202,0.728132,-0.0670907,8.5003,11.7029,-0.0857872,0.399096,9.22775,13.5563,0.886236,-1.01782,8.40379,17.2337,-0.2212,0.120596,11.0281,2.14526,-0.550035,-0.955789,11.6988,5.33122,0.361502,-0.516756,11.9205,8.73857,0.66053,0.23888,11.268,10.9425,-0.214411,-0.666187,11.8065,13.8142,0.511097,-0.640196,10.9935,17.0286,-0.594952,-0.157613,13.5892,2.96073,-0.948035,0.143134,14.2093,6.2251,-0.10631,0.702931,14.9249,8.41279,0.897383,-0.222071,14.0298,11.7667,-0.343724,0.461472,14.3155,14.3868,0.036792,0.128077,14.8021,17.8206,0.717099,0.906882,17.1992,3.22842,0.0749894,0.509728,17.8276,5.84176,0.920447,0.16937,16.7985,8.73155,-0.507485,0.219778,16.6422,11.1268,-0.683859,-0.409015,17.0239,13.5658,-0.169287,-0.981084,16.828,16.9854,-0.447118,-0.20993
0.745,2.39143,3.30364,-0.614917,0.605589,3.00551,6.13339,0.203107,0.56936,2.26741,8.48866,-0.78062,-0.117044,2.61382,11.3699,-0.320569,-0.0721874,3.09336,13.7527,0.350722,-0.71614,3.1953,16.4779,0.466717,-0.896783,4.96746,3.51475,-1.01003,0.887505,5.88677,6.4504,0.224539,0.995786,4.97906,8.7408,-0.983928,0.239695,5.75052,10.7116,0.0433956,-0.983816,5.0293,14.1353,-0.954006,-0.20655,5.31274,17.8442,-0.546801,0.934112,8.75337,2.25076,0.260406,-0.810866,9.29508,5.53988,0.981808,-0.232924,9.11014,8.52168,0.728219,-0.0670899,8.49988,11.7049,-0.0854214,0.399905,9.23218,13.5512,0.886054,-1.01869,8.40269,17.2343,-0.221088,0.120576,11.0253,2.14048,-0.550293,-0.955694,11.7006,5.32864,0.361397,-0.516735,11.9238,8.73977,0.660415,0.239175,11.2669,10.9391,-0.214334,-0.666422,11.809,13.811,0.511115,-0.640254,10.9905,17.0278,-0.595086,-0.157638,13.5845,2.96144,-0.948162,0.143168,14.2088,6.22861,-0.106315,0.703217,14.9294,8.41168,0.898516,-0.222135,14.0281,11.769,-0.343687,0.461569,14.3157,14.3874,0.0367102,0.127907,14.8056,17.8252,0.717538,0.90667,17.1996,3.23097,0.0749977,0.509847,17.8322,5.8426,0.920381,0.169307,16.796,8.73265,-0.508783,0.21977,16.6388,11.1248,-0.683948,-0.409059,17.0231,13.5609,-0.16942,-0.98126,16.8258,16.9844,-0.44758,-0.209777
0.75,2.38836,3.30667,-0.614745,0.605674,3.00653,6.13623,0.203135,0.569505,2.26351,8.48807,-0.780429,-0.117169,2.61221,11.3695,-0.320474,-0.0720327,3.09512,13.7491,0.351671,-0.716076,3.19763,16.4734,0.466905,-0.896837,4.96241,3.51919,-1.01018,0.887561,5.88789,6.45538,0.224397,0.995942,4.97414,8.742,-0.983749,0.240052,5.75074,10.7066,0.0431925,-0.984352,5.02453,14.1343,-0.95502,-0.206719,5.31001,17.8489,-0.546919,0.933989,8.75467,2.24671,0.260784,-0.81085,9.29999,5.53872,0.98204,-0.232915,9.11378,8.52135,0.728307,-0.0670888,8.49945,11.7069,-0.0850465,0.400728,9.23661,13.5461,0.885864,-1.01957,8.40158,17.2349,-0.220975,0.120556,11.0226,2.1357,-0.550556,-0.955599,11.7025,5.32606,0.361289,-0.516715,11.9271,8.74096,0.660299,0.239474,11.2658,10.9358,-0.214256,-0.666659,11.8116,13.8078,0.511134,-0.640312,10.9875,17.027,-0.595221,-0.157663,13.5797,2.96216,-0.948289,0.143203,14.2082,6.23213,-0.106318,0.703505,14.9339,8.41056,0.899677,-0.222194,14.0264,11.7713,-0.343651,0.461667,14.3159,14.388,0.0366275,0.127736,14.8092,17.8297,0.717981,0.906455,17.1999,3.23352,0.0750064,0.509966,17.8368,5.84345,0.920314,0.169244,16.7934,8.73375,-0.510112,0.219756,16.6353,11.1227,-0.684037,-0.409104,17.0222,13.556,-0.169552,-0.981438,16.8236,16.9833,-0.448045,-0.20962
0.755,2.38528,3.3097,-0.614572,0.605758,3.00754,6.13908,0.203161,0.569652,2.25961,8.48749,-0.780238,-0.117295,2.61061,11.3692,-0.320379,-0.0718764,3.09688,13.7455,0.35264,-0.716007,3.19997,16.469,0.467093,-0.896892,4.95735,3.52363,-1.01033,0.887616,5.88901,6.46036,0.224253,0.996099,4.96922,8.7432,-0.983565,0.240415,5.75095,10.7017,0.0429846,-0.984894,5.01975,14.1332,-0.956055,-0.206893,5.30727,17.8536,-0.547036,0.933865,8.75598,2.24265,0.261168,-0.810835,9.3049,5.53756,0.982274,-0.232906,9.11742,8.52101,0.728395,-0.0670875,8.49902,11.7089,-0.0846624,0.401563,9.24103,13.541,0.885665,-1.02047,8.40048,17.2355,-0.220862,0.120536,11.0198,2.13093,-0.550823,-0.955503,11.7043,5.32347,0.36118,-0.516694,11.9304,8.74216,0.660181,0.239775,11.2648,10.9325,-0.214176,-0.6669,11.8142,13.8046,0.511153,-0.640371,10.9846,17.0262,-0.595357,-0.157687,13.575,2.96288,-0.948417,0.143238,14.2077,6.23565,-0.106319,0.703796,14.9384,8.40945,0.900868,-0.222248,14.0246,11.7736,-0.343615,0.461766,14.316,14.3887,0.036544,0.127563,14.8128,17.8342,0.718429,0.906236,17.2003,3.23607,0.0750154,0.510085,17.8414,5.8443,0.920248,0.169181,16.7909,8.73484,-0.511472,0.219738,16.6319,11.1207,-0.684125,-0.409151,17.0214,13.5511,-0.169686,-0.981617,16.8213,16.9823,-0.448515,-0.20946
0.76,2.38221,3.31272,-0.614399,0.605843,3.00856,6.14193,0.203188,0.569799,2.25571,8.4869,-0.780045,-0.117422,2.60901,11.3688,-0.320284,-0.0717184,3.09864,13.7419,0.353629,-0.715934,3.20231,16.4645,0.46728,-0.896947,4.9523,3.52807,-1.01049,0.887672,5.89013,6.46534,0.224109,0.996257,4.96431,8.7444,-0.983376,0.240783,5.75117,10.6968,0.0427718,-0.985442,5.01497,14.1322,-0.957111,-0.207072,5.30454,17.8582,-0.547152,0.933741,8.75728,2.2386,0.261556,-0.810821,9.30981,5.53639,0.982511,-0.232898,9.12106,8.52068,0.728483,-0.0670859,8.4986,11.7109,-0.0842687,0.402413,9.24546,13.5359,0.885459,-1.02138,8.39937,17.2361,-0.220747,0.120516,11.0171,2.12615,-0.551095,-0.955406,11.7061,5.32089,0.36107,-0.516674,11.9337,8.74336,0.660061,0.24008,11.2637,10.9291,-0.214095,-0.667144,11.8167,13.8014,0.511173,-0.64043,10.9816,17.0254,-0.595494,-0.157711,13.5703,2.96359,-0.948545,0.143272,14.2072,6.23917,-0.106318,0.704089,14.9429,8.40834,0.902088,-0.222295,14.0229,11.7759,-0.343579,0.461865,14.3162,14.3893,0.0364597,0.12739,14.8164,17.8388,0.71888,0.906014,17.2007,3.23862,0.0750249,0.510204,17.846,5.84514,0.920181,0.169117,16.7883,8.73594,-0.512863,0.219714,16.6285,11.1186,-0.684213,-0.409199,17.0205,13.5462,-0.169819,-0.981798,16.8191,16.9812,-0.448988,-0.209296
0.765,2.37914,3.31575,-0.614224,0.605927,3.00957,6.14478,0.203213,0.569947,2.25181,8.48631,-0.779851,-0.11755,2.60741,11.3685,-0.320188,-0.0715588,3.10042,13.7384,0.354638,-0.715856,3.20464,16.46,0.467468,-0.897003,4.94725,3.53251,-1.01064,0.887727,5.89125,6.47033,0.223963,0.996416,4.95939,8.74561,-0.983181,0.241157,5.75138,10.6919,0.0425539,-0.985998,5.01018,14.1312,-0.958189,-0.207257,5.3018,17.8629,-0.547268,0.933618,8.75859,2.23455,0.261949,-0.810808,9.31473,5.53523,0.98275,-0.23289,9.1247,8.52034,0.728572,-0.067084,8.49818,11.7129,-0.0838653,0.403276,9.24989,13.5308,0.885243,-1.0223,8.39827,17.2367,-0.220632,0.120496,11.0143,2.12137,-0.551372,-0.95531,11.7079,5.31831,0.360957,-0.516653,11.937,8.74456,0.65994,0.240387,11.2626,10.9258,-0.214012,-0.66739,11.8193,13.7982,0.511193,-0.640489,10.9786,17.0247,-0.595632,-0.157735,13.5655,2.96431,-0.948674,0.143308,14.2066,6.24269,-0.106316,0.704386,14.9474,8.40723,0.903339,-0.222337,14.0212,11.7782,-0.343542,0.461966,14.3164,14.3899,0.0363745,0.127215,14.82,17.8433,0.719335,0.905789,17.2011,3.24117,0.0750348,0.510323,17.8506,5.84599,0.920114,0.169052,16.7858,8.73704,-0.514287,0.219685,16.6251,11.1166,-0.6843,-0.409247,17.0197,13.5413,-0.169953,-0.981981,16.8168,16.9802,-0.449465,-0.209128
0.77,2.37607,3.31878,-0.614049,0.606012,3.01059,6.14763,0.203238,0.570097,2.24791,8.48572,-0.779657,-0.117679,2.60581,11.3681,-0.320091,-0.0713975,3.10219,13.7348,0.355667,-0.715772,3.20698,16.4555,0.467655,-0.89706,4.9422,3.53695,-1.01079,0.887782,5.89237,6.47531,0.223817,0.996575,4.95448,8.74682,-0.982981,0.241537,5.75159,10.6869,0.042331,-0.98656,5.00539,14.1301,-0.959289,-0.207448,5.29906,17.8676,-0.547383,0.933493,8.7599,2.23049,0.262347,-0.810795,9.31964,5.53406,0.982991,-0.232882,9.12835,8.52001,0.728661,-0.0670819,8.49776,11.7149,-0.083452,0.404153,9.25431,13.5256,0.885019,-1.02324,8.39717,17.2373,-0.220515,0.120476,11.0116,2.1166,-0.551654,-0.955212,11.7097,5.31572,0.360843,-0.516633,11.9403,8.74577,0.659816,0.240698,11.2616,10.9224,-0.213928,-0.66764,11.8218,13.795,0.511214,-0.64055,10.9756,17.0239,-0.59577,-0.157758,13.5608,2.96502,-0.948804,0.143343,14.2061,6.24621,-0.106312,0.704685,14.9519,8.40612,0.904622,-0.222373,14.0195,11.7805,-0.343506,0.462068,14.3166,14.3906,0.0362885,0.127039,14.8236,17.8478,0.719795,0.90556,17.2014,3.24372,0.075045,0.510442,17.8552,5.84683,0.920048,0.168988,16.7832,8.73814,-0.515745,0.219649,16.6216,11.1146,-0.684387,-0.409297,17.0188,13.5364,-0.170088,-0.982165,16.8146,16.9791,-0.449947,-0.208957
0.775,2.373,3.32181,-0.613873,0.606096,3.01161,6.15048,0.203263,0.570247,2.24401,8.48513,-0.779461,-0.117809,2.60421,11.3678,-0.319993,-0.0712345,3.10397,13.7312,0.356718,-0.715684,3.20932,16.451,0.467842,-0.897117,4.93714,3.54138,-1.01095,0.887837,5.89349,6.48029,0.22367,0.996735,4.94956,8.74802,-0.982776,0.241923,5.7518,10.682,0.0421028,-0.987129,5.00059,14.1291,-0.960411,-0.207644,5.29633,17.8722,-0.547498,0.933369,8.76122,2.22644,0.26275,-0.810783,9.32456,5.5329,0.983235,-0.232875,9.13199,8.51967,0.72875,-0.0670795,8.49735,11.7169,-0.0830286,0.405045,9.25874,13.5205,0.884785,-1.0242,8.39606,17.2379,-0.220398,0.120456,11.0088,2.11182,-0.551941,-0.955115,11.7115,5.31314,0.360727,-0.516612,11.9436,8.74697,0.659691,0.241011,11.2605,10.9191,-0.213843,-0.667893,11.8244,13.7918,0.511235,-0.64061,10.9726,17.0231,-0.595909,-0.157781,13.556,2.96574,-0.948934,0.143378,14.2056,6.24974,-0.106306,0.704986,14.9564,8.40501,0.905937,-0.222401,14.0178,11.7828,-0.343471,0.462171,14.3168,14.3912,0.0362017,0.126862,14.8272,17.8524,0.720258,0.905328,17.2018,3.24628,0.0750557,0.510562,17.8598,5.84768,0.919981,0.168922,16.7806,8.73924,-0.517236,0.219608,16.6182,11.1125,-0.684473,-0.409348,17.018,13.5315,-0.170223,-0.98235,16.8123,16.9781,-0.450433,-0.208782
0.78,2.36993,3.32485,-0.613696,0.606181,3.01262,6.15333,0.203287,0.570399,2.24011,8.48455,-0.779264,-0.11794,2.60261,11.3674,-0.319895,-0.0710699,3.10576,13.7276,0.35779,-0.715589,3.21166,16.4465,0.468029,-0.897176,4.93209,3.54582,-1.0111,0.887892,5.89461,6.48528,0.223522,0.996896,4.94465,8.74923,-0.982565,0.242315,5.75201,10.6771,0.0418694,-0.987705,4.99578,14.1281,-0.961556,-0.207847,5.29359,17.8769,-0.547612,0.933245,8.76253,2.22238,0.263158,-0.810771,9.32947,5.53173,0.983481,-0.232868,9.13563,8.51933,0.72884,-0.0670769,8.49693,11.719,-0.0825947,0.405951,9.26316,13.5154,0.884543,-1.02516,8.39496,17.2385,-0.22028,0.120436,11.006,2.10704,-0.552232,-0.955017,11.7133,5.31056,0.360609,-0.516592,11.9469,8.74818,0.659563,0.241327,11.2594,10.9158,-0.213756,-0.668148,11.8269,13.7886,0.511257,-0.640671,10.9697,17.0223,-0.596049,-0.157803,13.5513,2.96646,-0.949065,0.143414,14.205,6.25326,-0.106299,0.705291,14.961,8.4039,0.907285,-0.222423,14.0161,11.7851,-0.343435,0.462274,14.3169,14.3918,0.036114,0.126684,14.8308,17.8569,0.720726,0.905093,17.2022,3.24883,0.0750667,0.510682,17.8644,5.84852,0.919914,0.168857,16.778,8.74034,-0.518763,0.219559,16.6148,11.1105,-0.684559,-0.4094,17.0171,13.5266,-0.170358,-0.982537,16.8101,16.9771,-0.450922,-0.208603
0.785,2.36686,3.32788,-0.613519,0.606265,3.01364,6.15618,0.20331,0.570551,2.23622,8.48396,-0.779066,-0.118071,2.60101,11.367,-0.319797,-0.0709036,3.10755,13.7241,0.358884,-0.715489,3.214,16.442,0.468215,-0.897235,4.92703,3.55026,-1.01126,0.887947,5.89573,6.49026,0.223372,0.997058,4.93974,8.75045,-0.982349,0.242713,5.75222,10.6721,0.0416307,-0.988287,4.99097,14.127,-0.962725,-0.208055,5.29085,17.8816,-0.547726,0.93312,8.76385,2.21833,0.263572,-0.81076,9.33439,5.53057,0.98373,-0.232862,9.13928,8.519,0.72893,-0.0670739,8.49652,11.721,-0.0821503,0.406871,9.26758,13.5103,0.88429,-1.02614,8.39386,17.2391,-0.220161,0.120416,11.0033,2.10227,-0.552529,-0.954918,11.7151,5.30797,0.36049,-0.516571,11.9502,8.74938,0.659434,0.241647,11.2584,10.9124,-0.213668,-0.668407,11.8295,13.7854,0.511279,-0.640733,10.9667,17.0215,-0.59619,-0.157825,13.5465,2.96718,-0.949197,0.14345,14.2045,6.25679,-0.106289,0.705598,14.9655,8.40278,0.908668,-0.222438,14.0143,11.7874,-0.343399,0.462379,14.3171,14.3925,0.0360255,0.126505,14.8344,17.8614,0.721198,0.904854,17.2026,3.25138,0.0750781,0.510801,17.869,5.84937,0.919846,0.168791,16.7754,8.74143,-0.520327,0.219504,16.6114,11.1084,-0.684644,-0.409453,17.0163,13.5217,-0.170494,-0.982726,16.8078,16.976,-0.451416,-0.20842
0.79,2.3638,3.33091,-0.61334,0.60635,3.01465,6.15904,0.203332,0.570705,2.23232,8.48336,-0.778867,-0.118203,2.59941,11.3667,-0.319697,-0.0707356,3.10935,13.7205,0.360001,-0.715383,3.21634,16.4376,0.468402,-0.897295,4.92197,3.5547,-1.01142,0.888002,5.89684,6.49525,0.223222,0.99722,4.93482,8.75166,-0.982127,0.243116,5.75243,10.6672,0.0413864,-0.988877,4.98616,14.126,-0.963918,-0.208271,5.28811,17.8862,-0.547838,0.932995,8.76517,2.21428,0.26399,-0.81075,9.33931,5.5294,0.983981,-0.232855,9.14292,8.51866,0.729021,-0.0670707,8.49611,11.723,-0.0816951,0.407806,9.27201,13.5051,0.884029,-1.02714,8.39276,17.2398,-0.220041,0.120396,11.0005,2.0975,-0.552831,-0.954819,11.7169,5.30539,0.360368,-0.516551,11.9535,8.75059,0.659303,0.241969,11.2573,10.9091,-0.213578,-0.668669,11.8321,13.7822,0.511302,-0.640795,10.9637,17.0207,-0.596332,-0.157847,13.5418,2.96789,-0.949329,0.143487,14.204,6.26032,-0.106278,0.705907,14.97,8.40167,0.910086,-0.222445,14.0126,11.7898,-0.343364,0.462485,14.3173,14.3931,0.0359361,0.126324,14.838,17.8659,0.721674,0.904611,17.2029,3.25394,0.0750898,0.510921,17.8736,5.85021,0.919779,0.168724,16.7728,8.74253,-0.521927,0.219442,16.608,11.1064,-0.684729,-0.409507,17.0154,13.5167,-0.17063,-0.982917,16.8056,16.975,-0.451913,-0.208233
0.795,2.36073,3.33394,-0.613161,0.606434,3.01567,6.16189,0.203354,0.57086,2.22843,8.48277,-0.778667,-0.118336,2.59781,11.3663,-0.319597,-0.0705659,3.11115,13.7169,0.361141,-0.715271,3.21868,16.4331,0.468588,-0.897356,4.91692,3.55914,-1.01158,0.888056,5.89796,6.50023,0.223071,0.997383,4.92991,8.75288,-0.9819,0.243526,5.75264,10.6622,0.0411367,-0.989473,4.98133,14.1249,-0.965136,-0.208493,5.28537,17.8909,-0.547951,0.93287,8.76649,2.21022,0.264414,-0.81074,9.34423,5.52824,0.984234,-0.23285,9.14657,8.51833,0.729112,-0.0670671,8.4957,11.7251,-0.0812288,0.408755,9.27643,13.5,0.883757,-1.02815,8.39166,17.2404,-0.21992,0.120376,10.9977,2.09272,-0.553138,-0.954719,11.7187,5.30281,0.360245,-0.51653,11.9568,8.7518,0.65917,0.242294,11.2562,10.9057,-0.213486,-0.668934,11.8346,13.779,0.511325,-0.640858,10.9607,17.0199,-0.596474,-0.157869,13.537,2.96861,-0.949462,0.143524,14.2034,6.26385,-0.106265,0.70622,14.9746,8.40056,0.91154,-0.222444,14.0109,11.7921,-0.343329,0.462592,14.3175,14.3937,0.0358459,0.126142,14.8416,17.8705,0.722154,0.904365,17.2033,3.25649,0.075102,0.511042,17.8782,5.85105,0.919712,0.168657,16.7702,8.74363,-0.523566,0.219372,16.6045,11.1043,-0.684813,-0.409563,17.0146,13.5118,-0.170767,-0.983108,16.8033,16.9739,-0.452415,-0.208043
0.8,2.35766,3.33697,-0.612981,0.606519,3.01669,6.16475,0.203376,0.571015,2.22454,8.48218,-0.778466,-0.11847,2.59621,11.366,-0.319497,-0.0703945,3.11296,13.7133,0.362304,-0.715152,3.22103,16.4286,0.468773,-0.897418,4.91186,3.56358,-1.01174,0.888111,5.89907,6.50522,0.222919,0.997547,4.92501,8.7541,-0.981667,0.243942,5.75284,10.6573,0.0408814,-0.990076,4.97651,14.1239,-0.966379,-0.208721,5.28263,17.8956,-0.548062,0.932745,8.76781,2.20617,0.264843,-0.810731,9.34915,5.52708,0.98449,-0.232844,9.15021,8.51799,0.729203,-0.0670632,8.4953,11.7271,-0.0807511,0.40972,9.28084,13.4949,0.883475,-1.02918,8.39056,17.241,-0.219798,0.120356,10.995,2.08795,-0.553451,-0.954619,11.7205,5.30023,0.360119,-0.51651,11.9601,8.75301,0.659034,0.242623,11.2551,10.9024,-0.213393,-0.669202,11.8372,13.7757,0.511349,-0.640921,10.9577,17.0191,-0.596618,-0.15789,13.5323,2.96933,-0.949596,0.143561,14.2029,6.26738,-0.106249,0.706535,14.9792,8.39945,0.913032,-0.222434,14.0092,11.7944,-0.343294,0.462699,14.3177,14.3944,0.0357548,0.12596,14.8452,17.875,0.722638,0.904115,17.2037,3.25905,0.0751145,0.511162,17.8828,5.8519,0.919644,0.16859,16.7676,8.74472,-0.525245,0.219294,16.6011,11.1023,-0.684897,-0.40962,17.0137,13.5069,-0.170904,-0.983302,16.801,16.9729,-0.452921,-0.207848
